frequency (Hz),Vpp1 (V),Vpp2 (V),phase (Ch2-Ch1) (degrees),T,T_dB
10.0,3.3289842606,0.0521838032,95.0399780273,0.00024572422369407504,-36.09552028305815
20.286934558567687,3.8340733051,0.1180387586,90.6579971313,0.0009478256180412571,-30.23271557270297
41.15597137836079,4.0120491982,0.2456784099,86.2993469238,0.003749742845838987,-24.259985147956197
83.49284980470904,4.0487818718,0.4952913821,83.4695510864,0.014964864311858646,-18.249272166038235
169.3813980096452,4.0612430573,0.9753950238,76.5335006714,0.057682371513529014,-12.389568926355919
343.6229336860381,4.0237531662,1.834656477,62.8453598022,0.20789634495776185,-6.82153145967371
697.1055968511703,3.9621505737,2.8267700672,44.1841011047,0.5090014456009136,-2.9328098423375537
1414.213562373095,3.9007401466,3.5079817772,25.459690094,0.8087617756963572,-0.9217938288248013
2869.0057991701874,3.9125978947,3.7954399586,13.2110090256,0.9410090870616934,-0.2640618269208936
5820.333289591681,3.9005582333,3.878057003,6.7132868767,0.9884958371065788,-0.050251553087797524
11807.672055499936,3.9125609398,3.8661236763,3.4002363682,0.9764033390184758,-0.10370744090142425
23954.147027895593,3.9244544506,3.878017664,1.7291065454,0.9764746659576217,-0.10339019736632415
48595.62131612263,3.8885214329,3.8423678875,-0.349514544,0.9764025252712545,-0.10371106036953756
98585.61894731162,3.9004855156,3.8305482864,-0.5333333611,0.9644607175179054,-0.15715456472802403
200000.00000000003,3.9124891758,3.8659062386,-0.0,0.9763293280123221,-0.1040366469635824
