frequency (Hz),Vpp1 (V),Vpp2 (V),phase (Ch2-Ch1) (degrees),T,T_dB
10.0,3.3152542114,0.2338512838,86.9774551392,0.004975604432730523,-23.031541539424488
20.286934558567687,3.865401268,0.521707654,81.7518234253,0.018216512959154232,-17.395347529136906
41.15597137836079,3.9944922924,1.0730917454,74.0740737915,0.07216897435496397,-11.416494667286186
83.49284980470904,4.0313634872,1.9935929775,60.4006614685,0.24455079236864471,-6.1163092568353905
169.3813980096452,4.0189604759,3.0285050869,40.0271072388,0.5678441350817524,-2.4577085542137582
343.6229336860381,4.056060791,3.6989018917,23.505153656,0.8316425739817461,-0.8006328608892099
697.1055968511703,4.0189218521,3.912371397,11.2970714569,0.9476784990874098,-0.2333897252873944
1414.213562373095,4.0312900543,3.9728577137,5.3465352058,0.9712206960103171,-0.12682071669031975
2869.0057991701874,4.0684995651,4.0335278511,2.8932261467,0.982882431334103,-0.07498427718718104
5820.333289591681,4.0556735992,4.0459403992,0.8391608596,0.9952059649662821,-0.020870296144929055
11807.672055499936,4.0431962013,4.0582389832,0.4245283306,1.0074548770901635,0.03225603627440107
23954.147027895593,4.0556359291,4.0457553864,-0.0,0.9951334354775191,-0.021186816601208646
48595.62131612263,4.0431566238,3.9841177464,-0.3501945436,0.971008875061444,-0.1277680060425367
98585.61894731162,4.0804772377,3.9963755608,0.1777777821,0.9592033122931941,-0.180893302134478
200000.00000000003,4.0928759575,4.0086722374,0.2879999876,0.9592767778517886,-0.18056068792714794
