frequency (Hz),Vpp1 (V),Vpp2 (V),phase (Ch2-Ch1) (degrees),T,T_dB
10.0,3.3289842606,0.0246150009,-96.3836135864,5.467341837096833e-05,-42.622237716684
20.286934558567687,3.8577404022,0.0529339164,90.9489059448,0.00018827907475366888,-37.25197944582367
41.15597137836079,4.0357890129,0.1074152812,90.0740737915,0.0007083945839012541,-31.49724767909392
83.49284980470904,4.0730443001,0.2129198462,86.6165390015,0.002732712983757219,-25.63405979765878
169.3813980096452,4.0855755806,0.4290187061,83.9024429321,0.011026710162879486,-19.575540407078396
343.6229336860381,4.0730037689,0.8502178192,77.6373596191,0.04357433638749738,-13.607692182269787
697.1055968511703,4.0350980759,1.6296806335,66.2761535645,0.16311609622306547,-7.875031808607926
1414.213562373095,3.9733221531,2.6394722462,47.7966117859,0.44129259737557636,-3.5527335772367437
2869.0057991701874,3.9610943794,3.4434947968,28.9655170441,0.755733165283729,-1.2163151838873307
5820.333289591681,3.9483065605,3.7567605972,15.087310791,0.905326659461443,-0.43194690624178667
11807.672055499936,3.936306715,3.8613657951,6.8165678978,0.9622856915080754,-0.166959718025659
23954.147027895593,3.9001176357,3.8732450008,3.103448391,0.9862670522614366,-0.060054748963135576
48595.62131612263,3.9121172428,3.8613264561,0.699029088,0.9742026750841661,-0.11350682224013908
98585.61894731162,3.9241533279,3.8494470119,-0.3546797931,0.962287302905749,-0.1669524455437127
200000.00000000003,3.9362282753,3.8376049995,-0.2882305682,0.9505172198272892,-0.2204001093085834
