frequency (Hz),Vpp1 (V),Vpp2 (V),phase (Ch2-Ch1) (degrees),T,T_dB
10.0,3.3258731365,0.220336318,87.0329666138,0.0043889518556654876,-23.57639183095216
20.286934558567687,3.8509402275,0.5091070533,81.459854126,0.017477715766282226,-17.575153277040418
41.15597137836079,4.0049753189,1.0404869318,74.6666641235,0.06749530619380334,-11.707264281320846
83.49284980470904,4.0171461105,1.9330075979,61.0526313782,0.2315431120071803,-6.35368133960812
169.3813980096452,3.9306254387,2.9364337921,41.679069519,0.5581065318829833,-2.5328289462339364
343.6229336860381,3.9183833599,3.5675709248,23.2577323914,0.8289558193862179,-0.8146861529782791
697.1055968511703,3.882216692,3.7734596729,11.2970714569,0.9447564834077785,-0.2468011904729539
1414.213562373095,3.8702721596,3.8315141201,6.1103258133,0.9800717000110736,-0.08742151062500515
2869.0057991701874,3.9298126698,3.8898761272,2.4799079895,0.9797783664060852,-0.08872154034806867
5820.333289591681,3.9177179337,3.901996851,2.0979020596,0.9919904699335561,-0.03492500098996456
11807.672055499936,3.905664444,3.8899893761,0.212514773,0.9919892695255279,-0.03493025639224828
23954.147027895593,3.893643856,3.8780210018,-0.6889952421,0.9919913005855897,-0.03492136438805687
48595.62131612263,3.8815126419,3.8422253132,-0.0,0.9798591395012086,-0.08836352199607779
98585.61894731162,3.8928706646,3.8540503979,-0.355029583,0.9801551557275558,-0.08705171304706333
200000.00000000003,3.929101944,3.8421905041,-0.2882305682,0.9562494412903859,-0.1942880558428495
