frequency (Hz),Vpp1 (V),Vpp2 (V),phase (Ch2-Ch1) (degrees),T,T_dB
10.0,3.328037262,0.0552296005,96.2399749756,0.0002754022241070497,-35.60032556767844
20.286934558567687,3.853443861,0.1193087995,88.2467498779,0.000958620868250798,-30.183531210697456
41.15597137836079,4.03129673,0.2437797636,86.5185165405,0.0036568384153165927,-24.368942294040284
83.49284980470904,4.0435461998,0.4910028279,82.9382324219,0.014744945368097588,-18.313568322256256
169.3813980096452,4.0559878349,0.9793220758,75.905090332,0.05829855647865405,-12.343421986049044
343.6229336860381,4.0187015533,1.8540052176,62.8453598022,0.21283860047154135,-6.719496054581082
697.1055968511703,3.9564142227,2.9409091473,41.1715507507,0.5525348907940364,-2.576402924828853
1414.213562373095,3.8955433369,3.6632065773,16.803396225,0.8842737649362834,-0.5341325965344177
2869.0057991701874,3.9075272083,3.834533453,-5.7864522934,0.9629883662699551,-0.16378959495695386
5820.333289591681,3.967641592,3.3743886948,-29.9825286865,0.7233114604456728,-1.4067465370713497
11807.672055499936,4.0286822319,2.3380353451,-53.5537223816,0.3368031295765777,-4.726238816868664
23954.147027895593,4.0906610489,1.3174823523,-72.4137954712,0.10372958064774797,-9.840973778427784
48595.62131612263,4.0780715942,0.6524325609,-82.5655975342,0.025595378873549818,-15.918384374568026
98585.61894731162,4.090616703,0.2782015502,-88.6699447632,0.004625317146504149,-23.348584834104564
200000.00000000003,4.1285295486,0.0398632847,-89.4956054688,9.322993214387103e-05,-40.30444631874331
