frequency (Hz),Vpp1 (V),Vpp2 (V),phase (Ch2-Ch1) (degrees),T,T_dB
10.0,3.3400123119,0.231421411,86.4935073853,0.00480077043246249,-23.186890610165655
20.286934558567687,3.8466305733,0.5347872376,81.525970459,0.01932863170185246,-17.137988891358667
41.15597137836079,3.9994819164,1.1000927687,74.4316329956,0.07565735338192797,-11.211488551094696
83.49284980470904,4.0613145828,2.0382237434,60.0500411987,0.25186652586517566,-5.988295482543862
169.3813980096452,4.023976326,3.0780031681,40.2439041138,0.5850962181634302,-2.3277270899244655
343.6229336860381,4.0363559723,3.7277002335,22.7628860474,0.8529096754658834,-0.690969588955479
697.1055968511703,4.0239372253,3.9456300735,10.7949790955,0.9614580417650306,-0.17069663716216724
1414.213562373095,4.0115542412,3.9814610481,4.0793199539,0.9850530157106936,-0.06540395074968955
2869.0057991701874,4.0735721588,4.0182156563,-1.4474439621,0.9730063071734265,-0.11884344560283586
5820.333289591681,4.0610408783,4.0058517456,-6.2937064171,0.9730048886523647,-0.11884977707586067
11807.672055499936,4.0735330582,3.9430060387,-16.5957431793,0.9369413242744101,-0.28287605848345315
23954.147027895593,4.0610017776,3.5669014454,-33.4803466797,0.7714643476595721,-1.1268413955869168
48595.62131612263,4.0734939575,2.5858340263,-57.0817108154,0.4029648259029181,-3.947328610126207
98585.61894731162,4.1110930443,1.2967480421,-86.7127304077,0.09949393091133667,-10.022034102302095
200000.00000000003,4.1234316826,0.1691358387,-110.359703064,0.0016824945866005187,-27.74046324437302
