frequency (Hz),Vpp1 (V),Vpp2 (V),phase (Ch2-Ch1) (degrees),T,T_dB
10.0,3.3205411434,0.0068000001,79.4308624268,4.193726526580561e-06,-53.7739989334358
20.286934558567687,3.8715612888,0.0045599998,-2.8490362167,1.3872584208331041e-06,-58.57842630283665
41.15597137836079,4.0255527496,0.0044,-2.7259328365,1.194687471172192e-06,-59.22745690780403
83.49284980470904,4.0377850533,0.0093600005,-6.7928462029,5.373600203443429e-06,-52.69734648267061
169.3813980096452,4.0750589371,0.0239582006,165.1320343018,3.4565321862570727e-05,-44.6135939473446
343.6229336860381,4.0377464294,0.087802954,164.2886505127,0.00047286826764494466,-33.25259828824686
697.1055968511703,3.975165844,0.3315491974,148.7665557861,0.006956414594502328,-21.57614542434289
1414.213562373095,3.7927503586,1.1215224266,121.0169525146,0.08743944827433106,-10.582925913622134
2869.0057991701874,3.73396492,2.6178648472,76.3761444092,0.49153446625199015,-3.0844602416298406
5820.333289591681,3.9292778969,3.6597940922,37.7182769775,0.8675366139530415,-0.6171218696681785
11807.672055499936,4.0622663498,3.9674785137,18.2547168732,0.9538769981925863,-0.2050762367142753
23954.147027895593,4.0747656822,4.0280652046,8.6165628433,0.9772095543671496,-0.10012295496547766
48595.62131612263,4.0873031616,4.0404572487,3.1578948498,0.9772087105237917,-0.10012670520175551
98585.61894731162,4.0998802185,4.0280265808,-0.7093595862,0.965255574290239,-0.1535768167335011
200000.00000000003,4.0869531631,4.0156297684,-2.879999876,0.9654015877528996,-0.15291991251990272
