frequency (Hz),Vpp1 (V),Vpp2 (V),phase (Ch2-Ch1) (degrees),T,T_dB
10.0,3.3289842606,0.0285534021,-82.8107833862,7.35685572015959e-05,-41.33307761091246
20.286934558567687,3.8577404022,0.0570789203,90.3162994385,0.00021892003051551527,-36.5971449999272
41.15597137836079,4.0357890129,0.1181439981,88.0,0.0008569715810192065,-30.670335799568306
83.49284980470904,4.0480561256,0.2384691238,86.2437438965,0.0034703338898188925,-24.59628738601069
169.3813980096452,4.0605130196,0.4806676209,83.4711914062,0.014012896715608306,-18.534720790206492
343.6229336860381,4.0480175018,0.9576520324,75.4639129639,0.05596682967353012,-12.520692936701504
697.1055968511703,3.985278368,1.8820362091,61.4206123352,0.22301733699543613,-6.516613743115562
1414.213562373095,3.8013424873,3.1551864147,32.5884017944,0.688931507492389,-1.6182395283360038
2869.0057991701874,3.7198958397,3.5919351578,-12.8128585815,0.9323852990349639,-0.3040458264001335
5820.333289591681,3.9386408329,2.4384222031,-49.5104904175,0.38328784792856485,-4.164749497548558
11807.672055499936,4.0469675064,1.3286981583,-69.3616943359,0.10779366326526947,-9.674067687393975
23954.147027895593,4.0844802856,0.6541311741,-80.0767059326,0.025648152390001705,-15.909439145961288
48595.62131612263,4.0719156265,0.3120216131,-85.6726531982,0.005871807570591307,-22.312281854488866
98585.61894731162,4.1348729134,0.1330344081,-88.5826721191,0.0010351508224808337,-29.84996368468769
200000.00000000003,4.122303009,0.0206298009,-86.6880111694,2.5044378024282033e-05,-46.01289749519541
